T,Z
2021-09-15T01:39:50Z,2076312
2021-09-15T01:40:00Z,2076622
2021-09-15T01:40:10Z,2076863
2021-09-15T01:40:20Z,2077156
2021-09-15T01:40:30Z,2077297
2021-09-15T01:40:40Z,2077510
2021-09-15T01:40:50Z,2077905
2021-09-15T01:41:00Z,2078696
2021-09-15T01:41:10Z,2078616
2021-09-15T01:41:20Z,2078575
2021-09-15T01:41:30Z,2079153
2021-09-15T01:41:40Z,2078905
2021-09-15T01:41:50Z,2079720
2021-09-15T01:42:00Z,2080600
2021-09-15T01:42:10Z,2080138
2021-09-15T01:42:20Z,2081301
2021-09-15T01:42:30Z,2081563
2021-09-15T01:42:40Z,2080519
2021-09-15T01:42:50Z,2081757
2021-09-15T01:43:00Z,2082110
2021-09-15T01:43:10Z,2081588
2021-09-15T01:43:20Z,2082570
2021-09-15T01:43:30Z,2082995
2021-09-15T01:43:40Z,2083224
2021-09-15T01:43:50Z,2083395
2021-09-15T01:44:00Z,2083413
2021-09-15T01:44:10Z,2084267
2021-09-15T01:44:20Z,2084294
2021-09-15T01:44:30Z,2084539
2021-09-15T01:44:40Z,2085803
2021-09-15T01:44:50Z,2085429
2021-09-15T01:45:00Z,2085014
2021-09-15T01:45:10Z,2086266
2021-09-15T01:45:20Z,2087160
2021-09-15T01:45:30Z,2086564
2021-09-15T01:45:40Z,2086301
2021-09-15T01:45:50Z,2088056
2021-09-15T01:46:00Z,2088578
2021-09-15T01:46:10Z,2087401
2021-09-15T01:46:20Z,2088185
2021-09-15T01:46:30Z,2089641
2021-09-15T01:46:40Z,2089284
2021-09-15T01:46:50Z,2088495
2021-09-15T01:47:00Z,2089618
2021-09-15T01:47:10Z,2090515
2021-09-15T01:47:20Z,2090092
2021-09-15T01:47:30Z,2090712
2021-09-15T01:47:40Z,2090912
2021-09-15T01:47:50Z,2091287
2021-09-15T01:48:00Z,2092098
2021-09-15T01:48:10Z,2091768
2021-09-15T01:48:20Z,2092375
2021-09-15T01:48:30Z,2092672
2021-09-15T01:48:40Z,2092576
2021-09-15T01:48:50Z,2093403
2021-09-15T01:49:00Z,2093426
2021-09-15T01:49:10Z,2093934
2021-09-15T01:49:20Z,2094562
2021-09-15T01:49:30Z,2094204
2021-09-15T01:49:40Z,2095187
2021-09-15T01:49:50Z,2095884
2021-09-15T01:50:00Z,2094770
2021-09-15T01:50:10Z,2095833
2021-09-15T01:50:20Z,2097318
2021-09-15T01:50:30Z,2095875
2021-09-15T01:50:40Z,2096735
2021-09-15T01:50:50Z,2098242
2021-09-15T01:51:00Z,2096597
2021-09-15T01:51:10Z,2098089
2021-09-15T01:51:20Z,2099234
2021-09-15T01:51:30Z,2097345
2021-09-15T01:51:40Z,2099663
2021-09-15T01:51:50Z,2099666
2021-09-15T01:52:00Z,2098108
2021-09-15T01:52:10Z,2100638
2021-09-15T01:52:20Z,2099373
2021-09-15T01:52:30Z,2100290
2021-09-15T01:52:40Z,2102095
2021-09-15T01:52:50Z,2099649
2021-09-15T01:53:00Z,2101824
2021-09-15T01:53:10Z,2101487
2021-09-15T01:53:20Z,2101057
2021-09-15T01:53:30Z,2103967
2021-09-15T01:53:40Z,2102173
2021-09-15T01:53:50Z,2103152
2021-09-15T01:54:00Z,2103697
2021-09-15T01:54:10Z,2102638
2021-09-15T01:54:20Z,2104702
2021-09-15T01:54:30Z,2103787
2021-09-15T01:54:40Z,2104019
2021-09-15T01:54:50Z,2104944
2021-09-15T01:55:00Z,2104210
2021-09-15T01:55:10Z,2105821
2021-09-15T01:55:20Z,2106006
2021-09-15T01:55:30Z,2105530
2021-09-15T01:55:40Z,2106727
2021-09-15T01:55:50Z,2106859
2021-09-15T01:56:00Z,2106647
2021-09-15T01:56:10Z,2107362
2021-09-15T01:56:20Z,2107719
2021-09-15T01:56:30Z,2107889
2021-09-15T01:56:40Z,2108755
2021-09-15T01:56:50Z,2108561
2021-09-15T01:57:00Z,2108701
2021-09-15T01:57:10Z,2109799
2021-09-15T01:57:20Z,2109542
2021-09-15T01:57:30Z,2109874
2021-09-15T01:57:40Z,2110367
2021-09-15T01:57:50Z,2110402
2021-09-15T01:58:00Z,2111369
2021-09-15T01:58:10Z,2111656
2021-09-15T01:58:20Z,2111568
2021-09-15T01:58:30Z,2112139
2021-09-15T01:58:40Z,2112427
2021-09-15T01:58:50Z,2112719
2021-09-15T01:59:00Z,2113051
2021-09-15T01:59:10Z,2113109
2021-09-15T01:59:20Z,2114128
2021-09-15T01:59:30Z,2114314
2021-09-15T01:59:40Z,2114135
2021-09-15T01:59:50Z,2115372
2021-09-15T02:00:00Z,2114394
2021-09-15T02:00:10Z,2114672
2021-09-15T02:00:20Z,2116500
2021-09-15T02:00:30Z,2115224
2021-09-15T02:00:40Z,2115967
2021-09-15T02:00:50Z,2116732
2021-09-15T02:01:00Z,2115983
2021-09-15T02:01:10Z,2117684
2021-09-15T02:01:20Z,2117836
2021-09-15T02:01:30Z,2117747
2021-09-15T02:01:40Z,2118388
2021-09-15T02:01:50Z,2117981
2021-09-15T02:02:00Z,2118920
2021-09-15T02:02:10Z,2118986
2021-09-15T02:02:20Z,2119011
